Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-01-04,262.7743835449219,265.30895976899075,261.86541926884837,263.87560041207547,1963682
2010-01-05,262.8442687988281,265.53616764037815,260.99141056737056,263.9455069323633,2014488
2010-01-06,256.9012145996094,262.9667322282283,256.2544690177945,262.8443605386305,3349176
2010-01-07,249.7520294189453,258.49195176230563,248.56339144516787,257.128515341661,6474892
2010-01-08,244.6477813720703,251.18524432989233,243.4941164589701,250.31125252637844,6048178
2010-01-11,249.68206787109375,251.74467642840364,244.8576357374445,246.11617582876247,4318408
2010-01-12,262.215087890625,263.59599958303556,254.15688553961124,255.90486962172685,9027690
2010-01-13,275.67449951171875,278.4188466681058,260.32721573718635,260.44956605864746,10910272
2010-01-14,272.6330261230469,279.13553869438886,268.9622601245724,279.13553869438886,10327614
2010-01-15,276.6709289550781,279.53760577858293,269.97614138785025,278.27906577498067,7945008
2010-01-18,280.4465637207031,289.8157539100884,277.23026881869737,279.6774464753567,7261084
2010-01-19,272.93017578125,280.44650559749795,272.21350674072744,280.44650559749795,5154850
2010-01-20,272.4757385253906,276.9505730362403,269.504165899117,276.9505730362403,4347054
2010-01-21,269.4167785644531,276.8631860293811,268.4553873783365,269.9761249012975,5089504
2010-01-22,264.94183349609375,267.4414582751787,260.34464998979325,266.04307156524317,7574990
2010-01-25,264.36517333984375,267.6164201598101,259.10374439588145,264.8196450307722,3008286
2010-01-27,260.54437255859375,266.2929722371635,259.44023527133703,262.89288662462934,4844398
2010-01-28,260.0010986328125,265.67959000011024,255.07624219607575,262.71765881401143,6537196
2010-01-29,258.0556335449219,259.3175107048941,249.6255401820371,257.2844768830386,5473326
2010-02-01,261.54345703125,267.37966803316283,252.37724706955188,257.407257255516,3378012
2010-02-02,258.8267822265625,267.32698436831447,257.63499275000896,264.6454687432065,4739188
2010-02-03,263.9270324707031,265.31160645718734,257.81038479992395,260.7898386011467,2977676
2010-02-04,258.9319763183594,264.25994320043753,256.75872413555766,263.92694125888045,2716612
2010-02-05,253.60409545898438,257.63512116427574,251.1854714780953,257.63512116427574,4607118
2010-02-08,253.83184814453125,257.5473923032744,248.22346668573246,255.53188021651863,4170344
2010-02-09,257.6875915527344,260.07114921955855,252.74519291703967,254.1297662672821,3005894
2010-02-10,256.6886291503906,260.6846098794712,255.2164245978725,259.3526234345375,2337374
2010-02-11,260.3340759277344,262.1743261985794,257.6350379183059,258.66908758744603,2413156
2010-02-15,261.54345703125,262.8929656974499,258.8794621422786,262.8929656974499,1956482
2010-02-16,265.74969482421875,268.1332529889586,260.15883451957524,261.9289758789779,1660490
2010-02-17,265.9249267578125,269.18479427657235,263.78671844108936,268.1157008153497,2528290
2010-02-18,265.9774169921875,268.8341941099371,264.8206928970376,266.3980497706798,1814806
2010-02-19,263.0856628417969,266.2228554768309,261.4206746080708,264.6104543766176,2215880
2010-02-22,265.4342041015625,267.69508737210555,264.22489245506,265.34657313289244,2143460
2010-02-23,267.1341552734375,268.1506827592537,263.33098094495335,266.0475401493772,1853052
2010-02-24,268.2734069824219,270.14872232521355,263.62896619597547,264.9960177021497,4076058
