Price,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,
2010-01-04,133.35313415527344,134.15655925045235,132.64067052559147,132.943845726187,9162186
2010-01-05,134.618896484375,136.39249221227269,133.62597904216403,134.6113142427345,14659997
2010-01-06,135.64968872070312,137.54456199595995,134.92964298260836,135.67242272190413,20410054
2010-01-07,134.3687744140625,135.93772598224388,132.8680375783289,135.93772598224388,10852286
2010-01-08,132.4814910888672,134.91450032046194,132.03430418038394,134.7780708474292,20580934
2010-01-11,131.791748046875,133.67145695247157,131.26876421293366,133.09542287192886,18184672
2010-01-12,127.751953125,132.18595093522714,127.33508229714288,131.79181412132817,22781935
2010-01-13,127.43357849121094,127.9717141552279,124.55338227545566,124.55338227545566,31684856
2010-01-14,126.62258911132812,130.5184374337043,126.00107413594552,128.39618528079254,33858143
2010-01-15,127.70643615722656,128.63870847867668,125.88735952481831,127.37293198961402,19521925
2010-01-18,130.87464904785156,131.70080809918954,125.86461904591886,126.42550140279272,22909535
2010-01-19,131.2005615234375,132.79224717388834,130.21523897509707,130.97318331132288,20804140
2010-01-20,133.0878448486328,134.0959140629443,131.72353749225553,131.85238471398407,27480893
2010-01-21,129.26022338867188,132.33748154657428,127.68368945877178,131.859978383119,33727122
2010-01-22,127.4411392211914,128.39615821352186,124.4320959788282,125.66754342561977,32621154
2010-01-25,125.9404296875,127.20619352692175,125.09910606089927,126.0616946849106,15865157
2010-01-27,119.34627532958984,125.42500734828671,118.23967504974563,124.30325530566664,38013514
2010-01-28,119.4599838256836,122.45387579035597,118.1260051836699,121.27147840204582,56519067
2010-01-29,125.87217712402344,127.18343415882323,117.48171470334738,117.48171470334738,59256560
2010-02-01,126.6983642578125,128.6083895939226,123.54530918525742,124.31840528848363,28587542
2010-02-02,124.15167236328125,127.70644669916406,123.66658691751388,127.48663798340301,29159537
2010-02-03,127.25169372558594,128.09301748087074,124.79594993356555,125.07639118532715,18166148
2010-02-04,125.63724517822266,128.69935183088091,125.13700796742906,126.5467835711546,18276049
2010-02-05,120.99104309082031,122.75705701640003,119.75559538383273,122.75705701640003,27352501
2010-02-08,122.08248138427734,128.85094350965176,119.14922202757705,128.85094350965176,22972361
2010-02-09,123.15116882324219,124.00006187935735,119.9677975995159,122.18099806089198,20874557
2010-02-10,121.24112701416016,124.53819325259444,120.79394018203698,124.00004497272637,19253811
2010-02-11,125.22035217285156,125.78881674765994,119.77071775075551,119.77071775075551,19596379
2010-02-15,123.90153503417969,126.12231781166464,123.16632469588751,126.12231781166464,10649243
2010-02-16,126.1905746459961,127.00158223353618,123.84852609879097,123.84852609879097,11282936
2010-02-17,127.47904968261719,128.50228350465983,125.91011066237334,127.335037959954,28238435
2010-02-18,127.34260559082031,129.30569378435882,126.47854807587007,127.33502334904834,25365791
2010-02-19,126.35730743408203,126.8802913888529,123.86365266440865,126.1223342251833,18276038
2010-02-22,126.06169128417969,128.85093881198574,125.62966884020408,128.11572843889482,12621301
2010-02-23,128.50985717773438,129.15410604355293,125.15214521206977,125.80398904190747,20701076
2010-02-24,127.50939178466797,128.22945054398053,126.27394397133999,127.35022826633299,17102217
2010-02-25,129.09352111816406,130.03337599855325,126.22847572930245,127.52456890253865,23944123
2010-02-26,132.2086181640625,134.45971695297177,127.63820585694008,128.13844296454124,35508192
2010-03-02,135.99835205078125,136.8851562526081,134.17170612266924,134.17170612266924,28273393
2010-03-03,137.69615173339844,138.32524878376267,135.72549409148604,136.4152236300613,25091231
2010-03-04,136.18785095214844,138.63601180113412,134.79322733554037,137.3399191623286,17625426
2010-03-05,136.69570922851562,137.79472750261553,135.1646557112288,136.14240896948482,14922803
2010-03-08,140.03065490722656,140.49300633713887,137.94630143401767,137.94630143401767,32294977
2010-03-09,140.24290466308594,141.67542720407744,137.80231258908356,139.7654013900508,34059690
2010-03-10,139.1287078857422,140.9023040148147,137.70376773217671,140.22015655051172,22191510
2010-03-11,141.10691833496094,141.99372257240896,138.41621482127175,138.7042255107518,21146158
2010-03-12,141.9861602783203,142.7820031703662,141.16000113690592,141.74361756148838,20491075
2010-03-15,140.03065490722656,141.7360361782051,129.7604815108278,140.9780917737444,16240301
2010-03-16,141.05389404296875,141.72087700187606,138.27979808145102,139.6137894430346,14485526
2010-03-17,143.7900390625,144.55556552699983,141.2812332509332,141.73600232938028,23114982
2010-03-18,146.0790557861328,146.96584733869136,143.8582730618217,144.01743653575593,25947581
2010-03-19,145.00282287597656,146.87495034371432,143.774944494892,145.980576234003,17969248
2010-03-22,141.77394104003906,143.8582946068909,139.61379048495905,143.8582946068909,20087584
2010-03-23,140.29592895507812,143.40351622032838,139.7653755152101,142.34238389682488,20200125
2010-03-25,141.56167602539062,142.4939481942881,138.340406677674,139.46215854367657,26513751
2010-03-26,143.63088989257812,144.29788551449684,141.77392746817577,142.34237938170062,21544611
2010-03-29,144.40396118164062,145.37413175320756,142.41813931737707,143.2518804474349,21909514
2010-03-30,145.49545288085938,146.7991152049739,144.7450780066157,144.93457046633898,18572757
2010-03-31,144.3888397216797,147.1629225769966,143.8127928727567,146.25338429482125,28237176
2010-04-01,144.4115753173828,145.81378124467795,143.14579886172905,145.0709886709438,19839534
2010-04-05,149.3685760498047,150.17958354167587,144.767846024976,144.767846024976,28263136
2010-04-06,151.25584411621094,153.05975633938732,149.36855266716995,150.36147024731656,30864163
2010-04-07,149.6717529296875,152.9536557075198,148.57272202694125,151.99864926216964,19863459
2010-04-08,145.6925048828125,149.77026275105948,145.17710323830295,148.89104069755322,23439388
2010-04-09,148.2998504638672,148.8531506290266,145.8289426054544,145.8744233396226,12637042
2010-04-12,146.23068237304688,149.30035884651411,145.71526790401964,148.55757883988372,20644701
2010-04-13,142.82745361328125,146.5110615976196,142.54699974186488,146.23063316996567,21935727
2010-04-15,139.1590118408203,145.2074278961352,138.74972339840437,143.6763746365344,29869411
2010-04-16,139.83358764648438,142.02405427139416,138.7497213369471,139.00741580935795,24517465
2010-04-19,139.43186950683594,140.45510332525168,136.81696266777578,138.52233116199605,23085573
2010-04-20,141.43284606933594,143.2519099041356,139.4621755589692,139.76536346633802,24374751
2010-04-21,144.29788208007812,144.69201873862278,142.3423759938247,142.4863877098676,20722333
2010-04-22,143.0775909423828,146.23065886847067,141.75876417242958,143.32771589293603,23026162
2010-04-23,148.2089080810547,148.5272350682493,143.25192766604076,143.85829083407913,26901132
2010-04-26,145.54849243164062,151.3088846771896,145.28321572942244,148.5727002688363,31212868
2010-04-27,143.54751586914062,145.52575590381562,141.75875555508412,145.22258071769647,15461006
2010-04-28,139.37881469726562,142.63798305819282,138.46169413978302,141.1751446003943,21680010
2010-04-29,143.5626678466797,144.1614486996219,139.9169452000588,139.9169452000588,25572305
2010-04-30,144.3054656982422,146.19275706561513,143.5778375906797,144.44947741565818,18736987
2010-05-03,142.02406311035156,145.2150170188547,141.43286442489065,143.41868695522186,16415217
2010-05-04,138.73455810546875,143.49446358622785,137.79470350878978,142.7819999374899,19283099
