Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-01-04,222.17860412597656,223.6583124128019,220.7073875002893,221.9574887442635,4069264
2010-01-05,222.92269897460938,223.71782152713828,221.1155739524897,222.80788508016633,6895528
2010-01-06,219.66983032226562,228.16543396417404,218.98950103724385,228.16543396417404,6817288
2010-01-07,214.73316955566406,219.96745672446812,214.1506293473323,219.96745672446812,10892600
2010-01-08,209.55848693847656,214.5844293490631,209.03123573629523,214.21874809590224,12649312
2010-01-11,211.72268676757812,213.00256020314598,210.3918011001798,210.485354668201,7849656
2010-01-12,219.9971923828125,220.59673662511477,212.60286875974825,212.60286875974825,24859680
2010-01-13,228.2079620361328,229.18593541545667,210.63421392030162,210.63421392030162,19704040
2010-01-14,228.7394561767578,229.85773910672785,225.37607420419178,227.82526372247764,8413904
2010-01-15,227.55313110351562,228.97331426708953,225.71197760494724,228.73945108631534,5049504
2010-01-18,228.475830078125,228.76072627624401,225.86932676197176,226.46461489726312,6140088
2010-01-19,224.15997314453125,228.59062564429732,223.49666874221765,227.91029640130833,5837512
2010-01-20,226.01388549804688,227.33202347057272,224.33857880794667,225.24425885201046,6091992
2010-01-21,223.25001525878906,226.60914056990515,221.10698250384388,224.763751829869,6682792
2010-01-22,219.03199768066406,221.9574049817539,217.0250182043816,221.10699346841386,13486496
2010-01-25,216.20013427734375,218.55151392752694,214.1336300415403,216.85494702379975,6498712
2010-01-27,212.7942352294922,215.48154409708695,211.340023139129,215.32420965174313,9840856
2010-01-28,211.9012451171875,217.27158441112527,210.8594912282799,213.7083692101905,12732872
2010-01-29,210.5194091796875,212.60291777387144,204.50700281744315,208.55494991465545,15012280
2010-02-01,208.45712280273438,215.1541134894107,203.25686468861042,208.09569790853277,12308784
2010-02-02,207.49618530273438,212.6879525511968,205.93992783898355,212.6879525511968,9889384
2010-02-03,210.32382202148438,212.60292957897192,208.35087098739248,208.35087098739248,6405608
