Date,Open,High,Low,Close,Volume
2010-01-04 00:00:00-05:00,6.389119670152611,6.421150518497731,6.357687544194546,6.406482219696045,493729600
2010-01-05 00:00:00-05:00,6.424142707083974,6.453778657470843,6.383729357107334,6.4175567626953125,601904800
2010-01-06 00:00:00-05:00,6.417558570419472,6.443003872134875,6.308892855483477,6.315478801727295,552160000
2010-01-07 00:00:00-05:00,6.338827345537177,6.346311374379893,6.258001432760286,6.303802490234375,477131200
2010-01-08 00:00:00-05:00,6.295421183719223,6.346311783770343,6.2583019969892995,6.345712661743164,447610800
2010-01-11 00:00:00-05:00,6.3702596411774906,6.376246864415073,6.240040733209064,6.28973388671875,462229600
2010-01-12 00:00:00-05:00,6.262190783014803,6.279554125989238,6.179270158820404,6.218185901641846,594459600
2010-01-13 00:00:00-05:00,6.222676231600221,6.314277914721165,6.109819514343955,6.305895805358887,605892000
2010-01-14 00:00:00-05:00,6.289732355137283,6.300209593570668,6.257102396119142,6.269375801086426,432894000
2010-01-15 00:00:00-05:00,6.314280215063555,6.334337412630288,6.162807066391127,6.164603233337402,594067600
2010-01-19 00:00:00-05:00,6.23644798038945,6.441804927472043,6.2038188149795666,6.437314510345459,730007600
2010-01-20 00:00:00-05:00,6.433423714842731,6.4525824309132895,6.27147331131557,6.338229656219482,612152800
2010-01-21 00:00:00-05:00,6.348704763550262,6.385524977713283,6.202918713907965,6.228662967681885,608154400
2010-01-22 00:00:00-05:00,6.190047261160149,6.21160046072804,5.902068681145756,5.919730186462402,881767600
2010-01-25 00:00:00-05:00,6.062223298689935,6.127781384990366,5.992773118182527,6.078987121582031,1065699600
2010-01-26 00:00:00-05:00,6.1652001407937105,6.397499134941822,6.064317858428197,6.164900779724121,1867110000
2010-01-27 00:00:00-05:00,6.192141939900389,6.303800822933116,5.973014429516342,6.222975730895996,1722568400
2010-01-28 00:00:00-05:00,6.134666779271022,6.151729561622486,5.948168821563473,5.965830326080322,1173502400
2010-01-29 00:00:00-05:00,6.019415969153658,6.052943615557257,5.69521506730314,5.749398231506348,1245952400
2010-02-01 00:00:00-05:00,5.758678991519351,5.867344699255939,5.72664814536343,5.829326629638672,749876400
2010-02-02 00:00:00-05:00,5.86465114009971,5.876924549124834,5.788914358270936,5.86315393447876,698342400
2010-02-03 00:00:00-05:00,5.842498148790464,5.993073622095666,5.820046460386964,5.964035987854004,615328000
2010-02-04 00:00:00-05:00,5.889196751398896,5.938291180133693,5.734730396392531,5.7490997314453125,757652000
2010-02-05 00:00:00-05:00,5.766461840157096,5.867344147914242,5.713176355720521,5.8511786460876465,850306800
2010-02-08 00:00:00-05:00,5.858064576017482,5.923623070540138,5.80747333995157,5.811065673828125,478270800
2010-02-09 00:00:00-05:00,5.879916522402139,5.912246724527202,5.829924413590137,5.8730316162109375,632886800
2010-02-10 00:00:00-05:00,5.864050564915447,5.885305605123277,5.8152562987685394,5.841000556945801,370361600
2010-02-11 00:00:00-05:00,5.833815339753855,5.97960099091897,5.809268130428122,5.947270393371582,550345600
2010-02-12 00:00:00-05:00,5.930507468863294,6.036179949597363,5.852376212154247,5.9984612464904785,655468800
2010-02-16 00:00:00-05:00,6.0451584149906035,6.097545396759127,6.032585651276825,6.088864326477051,543737600
2010-02-17 00:00:00-05:00,6.112514874778056,6.116107208249717,6.012829619344833,6.063421249389648,436396800
2010-02-18 00:00:00-05:00,6.035880600927846,6.10353542620495,6.014626757151199,6.0747971534729,422825200
2010-02-19 00:00:00-05:00,6.0427637787346615,6.082876957161388,6.020311701792747,6.037075519561768,415469600
2010-02-22 00:00:00-05:00,6.057134643732459,6.061924021996141,5.962837888850493,5.999658107757568,390563600
2010-02-23 00:00:00-05:00,5.987085200555253,6.0268994294293385,5.858662479858376,5.899075031280518,575094800
2010-02-24 00:00:00-05:00,5.9341009507733355,6.030193893920279,5.92242586441646,6.006844520568848,460566400
2010-02-25 00:00:00-05:00,5.9086548944784765,6.072700796983845,5.893986598782746,6.046956539154053,665126000
2010-02-26 00:00:00-05:00,6.058331425346124,6.141851176224056,6.046956102902583,6.125386714935303,507460800
