Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
2010-01-04,188.69981384277344,189.42457275123326,187.36561000393723,187.36561000393723,11031470
2010-01-05,188.76979064941406,190.248124131934,187.78560059851998,190.0834096547254,11613740
2010-01-06,189.90223693847656,190.65993365490746,188.18917857514623,189.17747809366867,14527930
2010-01-07,188.8397979736328,190.24813384451951,187.86797371165193,189.91870487328424,8576510
2010-01-08,188.2756805419922,189.74578305739888,187.78564637018997,188.93042923115124,10453820
2010-01-11,186.72320556640625,190.47052009792878,186.39788594939313,189.17748552328848,14145340
2010-01-12,181.45225524902344,186.95379707805833,180.87573568908738,186.70671906193002,22917720
2010-01-13,179.203857421875,180.77690779046083,177.73787712487234,180.77690779046083,21719690
2010-01-14,177.6760711669922,181.10629640361736,176.70423454721714,180.2003606442008,20723990
2010-01-15,176.52308654785156,179.40974326453423,175.98362684172218,178.55322044228575,20611920
2010-01-18,177.59788513183594,179.79273382803032,176.47780892677156,179.12975387454296,19222170
2010-01-19,178.9732666015625,180.11804932732036,177.64729415803774,178.70148202491214,12277070
2010-01-20,177.8820343017578,180.08512703164845,177.28082067729645,179.8709868556316,16830720
2010-01-21,174.93768310546875,178.00142013988133,173.96584632489896,177.81198655227567,19265470
2010-01-22,171.91099548339844,173.48815504552502,169.08609272715844,172.9651831554373,27193180
2010-01-25,172.2610626220703,176.0001334485831,169.29202928684276,169.29202928684276,15378040
2010-01-27,163.6999053955078,170.3503531129398,162.3368729479818,169.6585445879605,38068910
2010-01-28,164.9846649169922,172.95285241671573,163.97578081804065,172.95285241671573,27952460
2010-01-29,169.37850952148438,170.26798291041354,161.0150040911541,163.89342990654345,46487190
2010-02-01,166.4671173095703,176.9060596468177,165.993558450272,176.9060596468177,22047160
2010-02-02,162.93394470214844,168.43960844001896,162.58802794178655,167.20423093472888,24086260
2010-02-03,164.61817932128906,166.02650268087154,163.35809523454256,163.5886980368942,30450710
2010-02-04,160.42613220214844,164.4452314139196,159.77550551839582,164.38758699311393,35357120
2010-02-05,157.10650634765625,159.77213573681104,154.23391823345375,159.77213573681104,26878830
2010-02-08,160.31436157226562,161.24567580585452,155.9351206451855,157.28862611723522,18885130
2010-02-09,161.45263671875,162.0900731175176,159.35821546884299,159.85492145287762,13836980
2010-02-10,158.2696075439453,163.08346933237559,156.87470780956943,163.08346933237559,19731930
2010-02-11,158.74978637695312,160.59999820171234,158.19928163181353,159.26718327837617,12427940
2010-02-15,156.8747100830078,159.3582147281214,156.15449777808738,159.3582147281214,13325010
2010-02-16,158.9939727783203,159.35822216434875,156.8747174033459,158.44759869927768,8070150
2010-02-17,161.99485778808594,162.46258649129487,159.5444737484216,160.1860406933277,13468360
2010-02-18,160.79864501953125,162.25562980092323,159.54860631786275,162.0817789253062,13103230
2010-02-19,157.7273712158203,160.1032531668856,156.46492813623325,159.35820686282722,15863020
2010-02-22,158.64215087890625,160.18606765463883,158.1288972365944,158.94431519219975,11528650
2010-02-23,158.27377319335938,160.14467571663755,157.83502166076863,158.52212621582342,10625770
2010-02-24,159.04782104492188,159.77217676861378,157.28867143024155,157.78537755062052,8173590
2010-02-25,158.4186248779297,159.77213034664598,157.5700865548061,159.35821291051477,21615960
2010-02-26,163.43942260742188,168.21603306033336,158.53036818331756,159.35820300411817,43215190
2010-03-02,164.46182250976562,166.47761119582083,163.43117205342926,164.78467763053115,19347350
2010-03-03,167.42135620117188,167.71109087428576,164.66466411471717,164.66466411471717,15843680
2010-03-04,168.27398681640625,169.26738607061975,166.56036268168862,167.47098603324247,14301070
2010-03-05,169.474365234375,170.45120437328086,167.31371559553585,169.29224054207756,12685070
2010-03-08,171.0265350341797,174.8801050968986,168.3070946286252,170.53397230750824,38664790
2010-03-09,169.25912475585938,172.0240902174437,168.26158221181086,168.26158221181086,14305280
2010-03-10,168.6506805419922,169.72272528834154,167.75247406166767,169.72272528834154,12767630
2010-03-11,169.35430908203125,169.93793415733816,167.08190649892157,168.878306577588,11979800
2010-03-12,169.5323028564453,170.75336438119925,168.76656568276908,169.04388329924694,12033430
2010-03-15,166.81703186035156,169.27157231726596,166.48590290202333,168.83695134873005,8997490
2010-03-16,166.87908935546875,167.6365526650935,165.36828068900735,166.9784254926636,12857170
2010-03-17,167.8269500732422,169.04386827318191,166.8625280627458,167.22677740582395,10777370
